terrain_type,band,polarization,statistic,a_0,a_5,a_10,a_15,a_20,a_25,a_30,a_35,a_40,a_45,a_50,a_55,a_60,a_65,a_70,a_75,a_80
a1,S,vv,snmax,16.0,2.0,4.0,2.5,0.0,NULL,0.0,NULL,-8.0,NULL,-10.0,NULL,NULL,NULL,NULL,NULL,NULL
a1,S,hv,N,58.0,32.0,69.0,62.0,101.0,NULL,58.0,NULL,26.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,S,hv,snmin,-23.5,-24.5,-26.0,-26.5,-32.0,NULL,-38.5,NULL,-40.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,S,hv,snmax,-3.5,-11.0,-13.0,-14.5,-12.5,NULL,-14.5,NULL,-28.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,S,hh,N,58.0,33.0,105.0,79.0,105.0,NULL,58.0,NULL,27.0,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL
a1,S,hh,snmin,-6.5,-6.5,-14.5,-10.0,-18.0,NULL,-25.5,NULL,-29.0,NULL,-17.0,NULL,NULL,NULL,NULL,NULL,NULL
a1,S,hh,snmax,15.5,1.5,3.5,3.0,0.5,NULL,0.5,NULL,-11.0,NULL,-17.0,NULL,NULL,NULL,NULL,NULL,NULL
a1,X,vv,N,1.0,2.0,2.0,2.0,2.0,NULL,2.0,NULL,2.0,NULL,2.0,NULL,2.0,NULL,2.0,NULL,NULL
a1,X,vv,snmin,8.5,4.0,-3.0,-2.0,-3.0,NULL,-6.5,NULL,-8.0,NULL,-11.0,NULL,-13.0,NULL,-16.5,NULL,NULL
a1,X,vv,snmax,8.5,7.0,-1.0,-0.5,-2.5,NULL,-3.5,NULL,-5.0,NULL,-7.0,NULL,-13.0,NULL,-14.5,NULL,NULL
a1,X,hv,N,15.0,NULL,NULL,14.0,NULL,NULL,15.0,NULL,NULL,7.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,X,hv,snmin,-18.0,NULL,NULL,-21.0,NULL,NULL,-22.5,NULL,NULL,-27.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,X,hv,snmax,-4.0,NULL,NULL,-10.0,NULL,NULL,-13.5,NULL,NULL,-17.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,X,hh,N,11.0,2.0,8.0,63.0,8.0,NULL,17.0,NULL,8.0,NULL,8.0,NULL,8.0,NULL,7.0,NULL,4.0
a1,X,hh,snmin,3.5,3.0,-1.5,-8.0,-4.5,NULL,-12.0,NULL,-10.0,NULL,-13.0,NULL,-15.5,NULL,-21.5,NULL,-19.0
a1,X,hh,snmax,15.5,6.0,6.0,4.5,1.5,NULL,3.5,NULL,2.0,NULL,-1.0,NULL,-4.0,NULL,-5.5,NULL,-10.5
a1,C,vv,N,142.0,64.0,236.0,156.0,234.0,NULL,142.0,NULL,78.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,C,vv,snmin,-7.0,-8.0,-13.5,-9.0,-17.0,NULL,-25.5,NULL,-27.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,C,vv,snmax,24.5,4.5,11.0,5.0,1.5,NULL,1.0,NULL,-10.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,C,hv,N,142.0,64.0,185.0,120.0,203.0,NULL,142.0,NULL,78.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,C,hv,snmin,-21.0,-22.5,-28.5,-23.0,-43.0,NULL,-45.5,NULL,-45.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,C,hv,snmax,9.0,-7.5,-0.5,-3.0,5.5,NULL,-9.0,NULL,-18.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,C,hh,N,144.0,64.0,240.0,156.0,236.0,NULL,144.0,NULL,80.0,NULL,2.0,NULL,2.0,NULL,NULL,NULL,NULL
a1,C,hh,snmin,-7.0,-8.5,-14.5,-9.5,-18.5,NULL,-25.5,NULL,-27.0,NULL,-16.0,NULL,-20.5,NULL,NULL,NULL,NULL
a1,C,hh,snmax,23.5,4.5,9.5,4.5,6.5,NULL,1.5,NULL,-9.0,NULL,-9.0,NULL,-8.0,NULL,NULL,NULL,NULL
b,Ka,vv,N,NULL,NULL,4.0,NULL,5.0,NULL,5.0,NULL,5.0,NULL,5.0,NULL,4.0,NULL,3.0,NULL,NULL
b,Ka,vv,snmin,NULL,NULL,-13.5,NULL,-15.0,NULL,-15.5,NULL,-14.5,NULL,-20.0,NULL,-18.5,NULL,-16.0,NULL,NULL
b,Ka,vv,snmax,NULL,NULL,-7.5,NULL,-7.5,NULL,-9.5,NULL,-10.5,NULL,-8.5,NULL,-13.0,NULL,-13.0,NULL,NULL
b,Ka,hv,N,NULL,NULL,1.0,NULL,1.0,NULL,1.0,NULL,1.0,NULL,1.0,NULL,NULL,NULL,1.0,NULL,NULL
b,Ka,hv,snmin,NULL,NULL,-17.0,NULL,-16.0,NULL,-17.0,NULL,-18.5,NULL,-21.0,NULL,NULL,NULL,-23.0,NULL,NULL
b,Ka,hv,snmax,NULL,NULL,-17.0,NULL,-16.0,NULL,-17.0,NULL,-18.5,NULL,-21.0,NULL,NULL,NULL,-23.0,NULL,NULL
b,Ka,hh,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
b,Ka,hh,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-18.0,-19.0,-19.5,-20.0,-20.0,-20.5,-21.0,-25.0
b,Ka,hh,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-18.0,-19.0,-19.5,-20.0,-20.0,-20.5,-21.0,-25.0
