terrain_type,band,polarization,statistic,a_0,a_5,a_10,a_15,a_20,a_25,a_30,a_35,a_40,a_45,a_50,a_55,a_60,a_65,a_70,a_75,a_80
c3d,Ku,vv,snmin,-4.0,-10.5,-14.5,-15.0,-14.5,-11.5,-16.0,-12.5,-15.5,-11.5,-16.0,NULL,-15.5,NULL,-16.5,NULL,-18.5
c3d,Ku,vv,snmax,9.5,4.0,7.5,4.0,0.0,-1.0,-3.0,-4.5,-5.0,-5.5,-5.5,NULL,-6.5,NULL,-7.5,NULL,-15.5
c3d,Ku,vv,countData,[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 2. 1. 1. 0. 0. 1. 0. 3. 2. 1. 0. 0. 0. 0. 1. 0. 1.],[ 1.  0.  0.  0.  0.  0.  0.  4.  0.  0.  0.  0.  2.  2.  2.  8.  7. 10. 7.  6. 12. 15. 12.  5.  4.  2.  2.  1.  0.  2.  3.  0.  2.  4.  1.  2. 2.  0.  0.  3.  0.  2.  2.  0.  2.  2.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 2. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1.],[ 1.  0.  0.  0.  1.  1.  2.  3.  1.  0.  0.  2.  1.  2.  4.  8. 14. 10. 19. 20. 13.  6.  8.  4.  2.  0.  4.  2.  0.  1.],[1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 2. 1. 0. 0. 0. 0. 2. 0. 0. 1.],[ 1.  0.  0.  0.  0.  2.  0.  1.  2.  3.  2.  0.  1.  1.  4.  2.  8.  6. 6. 24. 17. 22. 12. 11.  2.  1.  0.  1.],[1. 0. 0. 0. 0. 0. 3. 1. 0. 1. 1. 0. 0. 0. 1. 0. 1.],[ 1.  1.  1.  3.  7.  9.  4.  2.  6.  3.  4.  5. 11.  7. 26. 15. 25. 28. 24. 17. 13. 19.],[1. 0. 0. 1. 1. 3. 1. 0. 0. 0. 0. 0. 2.],[ 1.  2.  0.  3.  1.  4. 12.  7.  5.  5.  8. 10. 11.  9. 23. 35. 35. 19. 27.  7. 11.  2.],NULL,[ 1.  5.  3.  1.  5. 11.  6.  7. 13. 17. 32. 18. 33. 27. 21. 13.  7.  0. 2.],NULL,[ 1.  3.  0.  3.  5.  4.  6. 17.  6. 16. 14. 30. 35. 28. 29. 14.  1.  4. 6.],NULL,[2. 0. 0. 0. 0. 1. 2.]
c3d,Ku,hv,N,4.0,NULL,6.0,NULL,6.0,NULL,6.0,NULL,108.0,NULL,114.0,NULL,108.0,NULL,104.0,NULL,NULL
c3d,Ku,hv,snmin,-17.5,NULL,-21.5,NULL,-20.0,NULL,-20.0,NULL,-17.5,NULL,-22.5,NULL,-16.5,NULL,-17.0,NULL,NULL
c3d,Ku,hv,snmax,-1.5,NULL,-12.5,NULL,-15.0,NULL,-14.0,NULL,-8.0,NULL,-8.5,NULL,-10.0,NULL,-12.0,NULL,NULL
c3d,Ku,hv,countData,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1.],NULL,[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 2.],NULL,[1. 0. 0. 0. 1. 0. 0. 2. 0. 1. 1.],NULL,[2. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1.],NULL,[ 4.  3.  4.  3.  3.  4.  7.  1.  3.  7.  7.  6. 12. 12.  8. 12.  9.  2. 1.],NULL,[ 1.  0.  0.  0.  0.  1.  0.  2.  1.  1.  0.  0.  6.  5.  7.  5.  9.  4. 4. 11. 10. 10. 12.  6. 12.  4.  1.  2.],NULL,[ 2.  1.  4.  9.  9. 11.  9.  9.  9. 16.  8. 12.  6.  3.],NULL,[ 6.  7.  8.  7.  6. 15.  9. 14. 17. 13.  2.],NULL,NULL
c3d,Ku,hh,N,6.0,NULL,118.0,NULL,118.0,NULL,118.0,NULL,220.0,NULL,226.0,NULL,220.0,NULL,220.0,NULL,3.0
c3d,Ku,hh,snmin,-3.5,NULL,-16.0,NULL,-13.0,NULL,-14.5,NULL,-15.0,NULL,-15.0,NULL,-14.5,NULL,-15.0,NULL,-17.5
c3d,Ku,hh,snmax,13.0,NULL,8.5,NULL,0.0,NULL,-3.5,NULL,-4.5,NULL,-6.0,NULL,-7.0,NULL,-8.5,NULL,-17.0
c3d,Ku,hh,countData,[1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],NULL,[ 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  1.  1.  0.  0.  4. 2. 11.  8. 11.  6. 15. 14.  0.  6.  4.  4.  2.  4.  0.  0.  0.  0.  0. 0.  2.  2.  2.  2.  4.  0.  2.  2.  0.  2.  0.  4.  0.  2.],NULL,[ 1.  0.  0.  0.  0.  0.  0.  1.  2.  2.  3.  7. 16.  8.  8. 29. 12.  9. 0.  4.  8.  0.  4.  2.  0.  0.  2.],NULL,[ 1.  0.  0.  0.  0.  0.  0.  1.  0.  3.  4.  0.  8.  6. 12. 14. 29.  8. 6. 14.  6.  4.  2.],NULL,[ 2.  3.  1.  5.  4.  5.  3.  9.  6.  2.  7.  6. 19. 23. 39. 32. 19. 15. 10.  7.  3.],NULL,[ 1.  1.  0.  3.  7. 10.  7.  4.  5. 17. 18. 20. 30. 40. 17. 26.  9.  5. 6.],NULL,[ 4.  2.  3.  1. 15. 24. 19. 40. 30. 32. 23. 11.  5.  2.  8.  1.],NULL,[ 1.  5. 11. 12. 20. 15. 29. 40. 44. 23.  4.  8.  6.  2.],NULL,[2. 1.]
c3d,S,vv,N,6.0,6.0,6.0,6.0,6.0,NULL,6.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3d,S,vv,snmin,-2.0,-14.0,-14.0,-19.0,-21.5,NULL,-21.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3d,S,vv,snmax,13.0,2.5,-4.5,-8.5,-11.0,NULL,-15.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3d,S,vv,countData,[1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1.],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0. 1. 0. 1.],[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1.],[1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1.],NULL,[1. 0. 0. 0. 0. 1. 0. 0. 0. 2. 1. 0. 1.],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3d,S,hv,N,6.0,6.0,6.0,6.0,6.0,NULL,6.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3d,S,hv,snmin,-19.0,-26.0,-28.5,-27.0,-29.5,NULL,-26.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3d,S,hv,snmax,-3.5,-12.0,-15.5,-18.0,-20.0,NULL,-21.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3d,S,hv,countData,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1.],[1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1.],[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 1.],NULL,[1. 0. 0. 0. 0. 2. 0. 1. 0. 1. 1.],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3d,S,hh,N,6.0,6.0,6.0,6.0,6.0,NULL,6.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3d,S,hh,snmin,-2.0,-14.0,-12.5,-18.0,-20.0,NULL,-19.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3d,S,hh,snmax,13.0,0.5,-4.0,-7.0,-9.5,NULL,-11.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3d,S,hh,countData,[1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.
 1. 0. 0. 0. 0. 1. 0. 1.],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.
 1. 1. 0. 0. 0. 0. 1.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1.],[1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 1.],[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 2.],NULL,[1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 2.],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3d,X,vv,N,NULL,NULL,91.0,NULL,91.0,NULL,91.0,NULL,181.0,NULL,201.0,NULL,181.0,NULL,181.0,NULL,NULL
c3d,X,vv,snmin,NULL,NULL,-8.0,NULL,-9.5,NULL,-10.5,NULL,-18.0,NULL,-16.0,NULL,-15.0,NULL,-16.5,NULL,NULL
c3d,X,vv,snmax,NULL,NULL,9.5,NULL,-1.0,NULL,-3.5,NULL,-6.5,NULL,-7.0,NULL,-7.5,NULL,-8.5,NULL,NULL
c3d,X,vv,countData,NULL,NULL,[ 5.  8. 14.  4.  8.  2.  2.  4.  4.  4. 10.  0.  2.  0.  2.  0.  0.  0.
  2.  4.  2.  0.  2.  2.  0.  0.  0.  0.  0.  0.  2.  0.  2.  0.  2.  2.
  2.],NULL,[ 4.  5.  6.  8. 10. 16. 12.  4. 14.  2.  0.  0.  0.  2.  6.  0.  0.  2.],NULL,[ 7.  4.  4. 18. 10.  8. 18.  4.  8.  4.  4.  0.  0.  0.  2.],NULL,[ 1.  1.  2.  0.  3.  0.  1.  4.  4.  3.  4.  4.  8.  1.  7. 18. 14. 22.
 15. 22. 21. 12.  9.  4.  1.],NULL,[ 1.  2.  3.  5.  4.  5.  4. 12. 12. 18. 13. 30. 12. 21. 14. 20. 10. 10.
  4.  1.],NULL,[ 3.  4.  5.  4.  7. 16. 23. 18. 18. 20. 28. 15.  7.  5.  4.  4.],NULL,[ 2.  3.  3.  5.  6.  9. 14. 19. 17. 18. 17. 28. 20.  9.  6.  3.  0.  2.],NULL,NULL
c3d,X,hv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90.0,NULL,110.0,NULL,90.0,NULL,90.0,NULL,NULL
c3d,X,hv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-20.5,NULL,-20.0,NULL,-18.5,NULL,-20.0,NULL,NULL
c3d,X,hv,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-9.0,NULL,-10.5,NULL,-11.0,NULL,-12.5,NULL,NULL
c3d,X,hv,countData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,[ 1.  1.  1.  3.  2.  2.  2.  1.  8.  1.  5.  6.  4.  4.  6.  8. 11.  6.
 10.  5.  1.  1.  1.],NULL,[ 1.  8.  5.  6.  5.  3.  7.  5.  4.  5.  9.  4.  3.  6. 10. 10.  6.  6.
  6.  0.  1.],NULL,[ 2.  4.  4.  8.  4.  8. 10.  8. 12.  7.  8.  5.  7.  2.  1.],NULL,[ 1.  1.  3.  6.  6.  7. 11. 10.  6. 10.  8. 11.  4.  3.  2.  1.],NULL,NULL
c3d,X,hh,N,NULL,NULL,91.0,NULL,91.0,NULL,91.0,NULL,181.0,NULL,181.0,NULL,181.0,NULL,181.0,NULL,NULL
c3d,X,hh,snmin,NULL,NULL,-8.5,NULL,-10.5,NULL,-10.5,NULL,-16.5,NULL,-16.5,NULL,-16.5,NULL,-17.5,NULL,NULL
c3d,X,hh,snmax,NULL,NULL,9.5,NULL,0.0,NULL,-3.0,NULL,-5.5,NULL,-6.0,NULL,-8.0,NULL,-9.0,NULL,NULL
c3d,X,hh,countData,NULL,NULL,[ 2.  0.  4.  9.  2. 10. 12.  6.  8.  4.  2.  4.  2.  0.  0.  2.  2.  0.
  0.  0.  0.  4.  0.  2.  4.  0.  0.  2.  0.  0.  2.  0.  0.  0.  2.  2.
  2.  2.],NULL,[ 4.  0.  0.  4. 10.  1. 10. 14.  8. 16.  6.  2.  4.  4.  0.  2.  2.  0.
  2.  0.  0.  0.  2.],NULL,[ 2.  4.  6.  8.  9. 10. 18. 12.  2.  6.  6.  0.  4.  2.  0.  2.],NULL,[ 1.  2.  2.  4.  4.  1.  3.  3.  4.  4.  3.  6. 12. 11. 26. 19. 19. 10.
 21. 13.  5.  6.  2.],NULL,[ 1.  0.  4.  2.  4.  6.  2.  8.  6.  9.  9. 12. 26. 23. 14. 15. 20. 12.
  3.  2.  1.  2.],NULL,[ 1.  4.  0.  5.  1.  8.  9.  7. 18. 27. 22. 19. 29. 10. 10.  3.  2.  6.],NULL,[ 1.  3.  4. 10.  7. 11. 12. 16. 21. 24. 20. 12. 16. 12.  4.  4.  0.  4.],NULL,NULL
c3d,C,vv,N,15.0,15.0,15.0,15.0,15.0,NULL,15.0,NULL,NULL,NULL,15.0,NULL,NULL,NULL,NULL,NULL,NULL
c3d,C,vv,snmin,-7.5,-12.5,-14.5,-16.0,-17.0,NULL,-17.5,NULL,NULL,NULL,-16.0,NULL,NULL,NULL,NULL,NULL,NULL
c3d,C,vv,snmax,9.5,0.0,-3.0,-7.5,-7.5,NULL,-9.5,NULL,NULL,NULL,-11.0,NULL,NULL,NULL,NULL,NULL,NULL
c3d,C,vv,countData,[2. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 3. 0. 0. 1. 0. 1. 0. 0. 0.
 0. 0. 2. 0. 0. 1. 0. 0. 0. 1. 0. 1.],[1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1. 1. 2. 1. 0.
 1. 1.],[2. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 0. 4. 3. 0. 1. 0. 1.],[1. 1. 0. 0. 2. 0. 1. 0. 0. 0. 0. 2. 1. 2. 3. 1. 1.],[1. 1. 1. 0. 0. 1. 0. 2. 0. 2. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1.],NULL,[1. 0. 2. 0. 0. 1. 0. 2. 0. 1. 4. 1. 1. 0. 0. 2.],NULL,NULL,NULL,[1. 3. 0. 1. 0. 3. 2. 2. 1. 1. 1.],NULL,NULL,NULL,NULL,NULL,NULL
c3d,C,hv,N,12.0,22.0,23.0,23.0,23.0,9.0,23.0,9.0,9.0,9.0,43.0,NULL,NULL,NULL,NULL,NULL,NULL
c3d,C,hv,snmin,-19.0,-21.0,-21.5,-22.5,-24.5,-22.5,-24.5,-24.0,-23.0,-24.0,-23.0,NULL,NULL,NULL,NULL,NULL,NULL
c3d,C,hv,snmax,-1.5,-10.5,-9.0,-11.0,-12.0,-12.0,-14.0,-14.5,-15.0,-16.0,-14.5,NULL,NULL,NULL,NULL,NULL,NULL
c3d,C,hv,countData,[1. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 2. 1. 0.
 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1.],[1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 3. 0. 1. 2. 2. 0. 4. 1. 2. 0. 3.],[1. 1. 0. 1. 0. 1. 2. 2. 0. 1. 1. 2. 1. 2. 0. 1. 0. 2. 3. 0. 0. 0. 0. 0.
 1. 1.],[1. 2. 0. 1. 1. 2. 0. 1. 0. 1. 2. 1. 2. 2. 1. 1. 1. 2. 0. 0. 0. 1. 0. 1.],[2. 0. 0. 0. 0. 0. 2. 0. 1. 2. 1. 0. 4. 0. 2. 3. 1. 1. 2. 0. 0. 0. 0. 1.
 1.],[1. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1.],[1. 0. 0. 0. 1. 0. 0. 2. 1. 3. 1. 2. 1. 2. 2. 1. 0. 1. 2. 1. 1. 1.],[1. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 2.],[1. 0. 0. 0. 0. 1. 1. 2. 0. 0. 0. 1. 0. 1. 0. 0. 1. 1.],[1. 1. 1. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 1. 1.],[1. 0. 1. 1. 4. 0. 4. 7. 5. 6. 8. 2. 2. 0. 1. 0. 0. 1.],NULL,NULL,NULL,NULL,NULL,NULL
c3d,C,hh,N,15.0,24.0,23.0,24.0,24.0,9.0,24.0,9.0,9.0,9.0,44.0,NULL,NULL,NULL,NULL,NULL,NULL
c3d,C,hh,snmin,-6.5,-12.5,-16.0,-15.5,-17.0,-17.5,-19.5,-18.5,-18.0,-18.5,-18.0,NULL,NULL,NULL,NULL,NULL,NULL
c3d,C,hh,snmax,13.0,0.5,-1.5,-1.5,-4.5,-5.5,-7.5,-8.0,-8.0,-9.5,-9.0,NULL,NULL,NULL,NULL,NULL,NULL
c3d,C,hh,countData,[1. 1. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0.
 0. 1. 0. 0. 2. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 2. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 2. 0. 2. 4. 2. 0. 1. 0.
 2. 4. 0. 1.],[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 2. 0. 2. 1. 2.
 3. 1. 1. 0. 3. 0. 1.],[1. 0. 0. 3. 0. 0. 0. 1. 1. 0. 1. 0. 0. 3. 1. 0. 1. 3. 2. 0. 0. 1. 3. 0.
 0. 1. 0. 0. 2.],[1. 1. 0. 0. 0. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1. 1. 0. 4. 3. 1. 1. 2. 0. 0.
 1. 2.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 2. 0. 0. 0. 2. 0. 1. 0. 1. 0.
 1.],[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 2. 0. 1. 0. 1. 0. 1. 2. 1. 2. 3. 2. 6. 0.
 1.],[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 2. 1. 0. 1.],[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 1. 2. 1.],[1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 1. 0. 2. 1.],[ 2.  1.  3.  1. 11.  3.  2.  3.  0.  1.  2.  1.  4.  4.  1.  1.  2.  1.
  0.  1.],NULL,NULL,NULL,NULL,NULL,NULL
c1c3,Ka,vv,N,NULL,NULL,1.0,NULL,3.0,NULL,3.0,NULL,3.0,NULL,23.0,NULL,3.0,NULL,3.0,NULL,1.0
c1c3,Ka,vv,snmin,NULL,NULL,-5.0,NULL,-7.5,NULL,-11.0,NULL,-15.0,NULL,-20.0,NULL,-18.0,NULL,-18.0,NULL,-19.5
c1c3,Ka,vv,snmax,NULL,NULL,-5.0,NULL,-6.0,NULL,-7.0,NULL,-9.0,NULL,-6.0,NULL,-12.5,NULL,-16.5,NULL,-19.5
c1c3,Ka,vv,countData,NULL,NULL,[1.],NULL,[1. 0. 0. 2.],NULL,[1. 0. 1. 0. 0. 0. 0. 1.],NULL,[1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1.],NULL,[1. 0. 0. 2. 0. 0. 2. 1. 1. 2. 1. 0. 0. 1. 0. 1. 1. 1. 1. 1. 3. 0. 2. 0.
 0. 1. 0. 0. 1.],NULL,[1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1.],NULL,[1. 0. 1. 1.],NULL,[1.]
c1c3,Ka,hv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c1c3,Ka,hv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c1c3,Ka,hv,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c1c3,Ka,hv,countData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c1c3,Ka,hh,N,NULL,NULL,1.0,NULL,3.0,NULL,3.0,NULL,3.0,NULL,23.0,NULL,3.0,NULL,3.0,NULL,1.0
c1c3,Ka,hh,snmin,NULL,NULL,-4.5,NULL,-6.5,NULL,-11.0,NULL,-14.0,NULL,-20.0,NULL,-18.0,NULL,-18.5,NULL,-16.5
c1c3,Ka,hh,snmax,NULL,NULL,-4.5,NULL,-5.0,NULL,-6.0,NULL,-7.0,NULL,-7.0,NULL,-10.0,NULL,-12.5,NULL,-16.5
c1c3,Ka,hh,countData,NULL,NULL,[1.],NULL,[1. 0. 1. 1.],NULL,[1. 1. 0. 0. 0. 0. 0. 0. 0. 1.],NULL,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],NULL,[1. 0. 0. 0. 0. 0. 0. 1. 3. 0. 0. 3. 2. 2. 0. 2. 1. 0. 1. 0. 1. 3. 0. 1.
 1. 0. 1.],NULL,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],NULL,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1.],NULL,[1.]
c1c3,L,vv,N,130.0,43.0,129.0,44.0,132.0,NULL,129.0,NULL,88.0,NULL,2.0,NULL,88.0,NULL,NULL,NULL,86.0
c1c3,L,vv,snmin,-6.5,-5.0,-13.5,-21.5,-23.5,NULL,-27.0,NULL,-36.5,NULL,-12.5,NULL,-37.0,NULL,NULL,NULL,-38.0
c1c3,L,vv,snmax,18.0,10.5,2.5,-2.5,-5.0,NULL,-8.5,NULL,-9.5,NULL,-11.0,NULL,-11.5,NULL,NULL,NULL,-19.5
c1c3,L,vv,countData,[ 1.  1.  2.  0.  1.  2.  1.  0.  1.  2.  2.  2.  2.  1.  2.  0.  0.  1.
  3.  0.  2.  2.  1.  1.  4.  3.  6.  1.  7.  1.  3.  6.  7. 10.  6.  9.
  4.  6.  2.  0.  3.  3.  0.  1.  5.  7.  4.  0.  0.  0.  2.],[1. 2. 1. 2. 2. 2. 3. 1. 2. 2. 2. 1. 4. 0. 0. 1. 2. 0. 1. 3. 1. 0. 1. 1.
 1. 2. 1. 1. 2. 0. 0. 1.],[ 1.  0.  0.  0.  1.  0.  3.  1.  8.  4.  5.  5.  5.  2.  3.  8. 10.  4.
 14.  5. 10.  6.  7.  2.  2. 10.  1.  1.  1.  5.  2.  1.  0.  2.],[1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 3. 4. 3. 1. 1. 2. 5. 1. 2. 2. 1. 0. 0.
 1. 1. 0. 0. 2. 2. 2. 1. 2. 0. 1. 1. 1. 0. 1. 1.],[1. 0. 1. 1. 1. 3. 3. 9. 8. 4. 6. 9. 5. 6. 7. 9. 6. 7. 3. 4. 2. 3. 4. 1.
 3. 3. 2. 2. 0. 1. 5. 2. 1. 4. 3. 1. 1. 1.],NULL,[ 1.  2.  4.  1.  3.  6.  2.  4. 11.  9.  5. 10. 11.  4.  5.  3.  5.  2.
  5.  4.  0.  2.  2.  0.  3.  2.  1.  2.  3.  1.  2.  3.  4.  1.  0.  2.
  2.  2.],NULL,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 1. 1. 0. 2. 3. 1. 3. 1. 7. 2. 5. 7. 8.
 2. 9. 5. 7. 2. 1. 2. 1. 1. 0. 1. 0. 1. 0. 1. 1. 2. 1. 1. 0. 1. 0. 1. 0.
 0. 0. 3. 0. 0. 0. 1.],NULL,[1. 0. 0. 1.],NULL,[ 1.  0.  0.  0.  0.  0.  0.  1.  1.  0.  1.  4.  3.  2.  7.  1.  2.  4.
 10.  7.  4.  4.  6.  6.  5.  4.  4.  2.  1.  0.  0.  1.  2.  1.  0.  1.
  0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0.  1.],NULL,NULL,NULL,[ 1.  0.  0.  0.  1.  1.  0.  1.  0.  1.  0.  1.  2.  1.  0.  2.  2.  5.
  7.  7.  5. 13.  3.  8.  5.  6.  7.  1.  2.  1.  1.  1.  0.  0.  0.  0.
  1.]
c1c3,L,hv,N,98.0,12.0,112.0,25.0,110.0,NULL,110.0,NULL,86.0,NULL,NULL,NULL,86.0,NULL,NULL,NULL,86.0
c1c3,L,hv,snmin,-25.5,-21.0,-35.0,-28.0,-39.5,NULL,-40.0,NULL,-40.5,NULL,NULL,NULL,-45.0,NULL,NULL,NULL,-48.5
c1c3,L,hv,snmax,1.5,-3.0,-9.5,-16.0,-16.0,NULL,-16.5,NULL,-20.0,NULL,NULL,NULL,-25.5,NULL,NULL,NULL,-22.5
c1c3,L,hv,countData,[1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 2. 0. 2. 2. 5. 2. 7. 7. 7. 6. 6. 4. 5. 3.
 2. 1. 4. 0. 3. 3. 3. 1. 8. 0. 0. 2. 0. 0. 3. 0. 0. 0. 3. 1. 0. 0. 0. 0.
 1. 1. 0. 0. 0. 0. 0. 1.],[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0.
