terrain_type,band,polarization,statistic,a_0,a_5,a_10,a_15,a_20,a_25,a_30,a_35,a_40,a_45,a_50,a_55,a_60,a_65,a_70,a_75,a_80
a1,L,hh,countData,[ 1.  1.  3.  3.  1. 10.  6.  0.  4.  3.],[ 3.  2.  0. 10.  3.  7.  0.  2.  5.],[ 1.  1.  0.  1.  3.  2.  2.  3.  6.  6.  7.  2.  5.  6. 12.  3.  2.  4. 1.  1.  2.  0.  1.  1.  1.  0.  0.  1.  2.  0.  0.  0.  0.  0.  0.  1.],[1. 0. 1. 0. 0. 0. 0. 1. 2. 3. 1. 2. 1. 8. 1. 3. 5. 3. 3. 6. 4. 6. 3. 6. 3. 5. 2. 7.],[1. 0. 1. 0. 0. 0. 3. 1. 1. 0. 1. 2. 3. 2. 3. 2. 4. 6. 5. 4. 3. 3. 3. 3. 2. 2. 3. 3. 1. 4. 2. 6. 2. 1.],NULL,[1. 1. 0. 4. 1. 1. 1. 1. 1. 1. 1. 2. 1. 4. 2. 2. 1. 4. 2. 0. 1.],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,vv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,vv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,vv,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,vv,countData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hv,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hv,countData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hh,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hh,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hh,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hh,countData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,vv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,vv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,vv,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,vv,countData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,hv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,hv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,hv,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,hv,countData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,hh,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,hh,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,hh,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,hh,countData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,S,vv,N,58.0,33.0,105.0,79.0,105.0,NULL,59.0,NULL,27.0,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL
a1,S,vv,snmin,-7.0,-7.0,-14.0,-10.0,-16.0,NULL,-24.0,NULL,-26.0,NULL,-10.0,NULL,NULL,NULL,NULL,NULL,NULL
a1,S,vv,snmax,16.0,2.0,4.0,2.5,0.0,NULL,0.0,NULL,-8.0,NULL,-10.0,NULL,NULL,NULL,NULL,NULL,NULL
a1,S,vv,countData,[1. 0. 1. 0. 0. 0. 2. 0. 2. 2. 3. 3. 1. 2. 4. 6. 2. 3. 6. 0. 2. 1. 0. 1. 2. 0. 1. 0. 0. 2. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 2. 1. 1. 0. 2. 0. 1.],[1. 2. 0. 0. 0. 0. 0. 0. 1. 2. 3. 1. 1. 3. 8. 3. 7. 0. 0. 1.],[ 1.  2.  0.  0.  2.  1.  0.  0.  0.  3.  1.  0.  2.  5.  6.  4.  2.  5. 7.  1.  2.  6.  4.  1.  1.  5.  4. 11.  7.  6.  4.  1.  2.  1.  1.  5. 1.  1.],[ 3.  0.  0.  5.  1.  2.  2.  3.  5.  4.  6.  6.  3.  5.  2.  4.  5.  2. 10.  4.  3.  0.  1.  2.  0.  0.  1.],[1. 1. 2. 1. 1. 1. 3. 3. 1. 1. 5. 3. 4. 4. 3. 7. 7. 6. 4. 5. 4. 4. 1. 2. 1. 4. 6. 3. 2. 1. 8. 1. 3. 2.],NULL,[1. 0. 1. 0. 1. 1. 0. 0. 0. 0. 2. 1. 2. 2. 1. 3. 2. 3. 2. 1. 1. 2. 0. 0. 2. 0. 2. 0. 0. 1. 0. 1. 1. 2. 1. 1. 0. 0. 0. 1. 1. 4. 5. 4. 2. 1. 1. 0. 2. 1.],NULL,[2. 1. 0. 1. 0. 0. 1. 0. 0. 0. 1. 3. 0. 2. 1. 3. 2. 3. 3. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],NULL,[1.],NULL,NULL,NULL,NULL,NULL,NULL
a1,S,hv,N,58.0,32.0,69.0,62.0,101.0,NULL,58.0,NULL,26.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,S,hv,snmin,-23.5,-24.5,-26.0,-26.5,-32.0,NULL,-38.5,NULL,-40.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,S,hv,snmax,-3.5,-11.0,-13.0,-14.5,-12.5,NULL,-14.5,NULL,-28.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,S,hv,countData,[1. 1. 0. 0. 1. 3. 0. 1. 1. 0. 2. 1. 1. 2. 0. 1. 3. 1. 4. 3. 2. 2. 2. 2. 0. 0. 0. 2. 0. 5. 0. 1. 1. 5. 3. 1. 1. 2. 2. 0. 1.],[1. 0. 0. 1. 1. 1. 1. 2. 2. 0. 0. 0. 2. 0. 1. 1. 3. 1. 2. 0. 5. 2. 0. 2. 1. 2. 0. 1.],[1. 2. 0. 4. 3. 2. 1. 3. 0. 3. 1. 0. 4. 5. 5. 4. 6. 1. 5. 4. 5. 5. 1. 2. 0. 1. 1.],[1. 1. 0. 1. 0. 1. 4. 3. 5. 2. 3. 5. 4. 1. 3. 4. 3. 1. 3. 2. 7. 3. 1. 2. 2.],[1. 0. 0. 0. 1. 0. 0. 2. 2. 1. 2. 1. 5. 3. 5. 4. 6. 7. 3. 8. 5. 4. 4. 1. 4. 4. 3. 1. 4. 3. 7. 1. 2. 5. 1. 0. 0. 0. 0. 1.],NULL,[1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 2. 0. 1. 0. 4. 3. 0. 4. 1. 2. 3. 2. 1. 1. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 4. 3. 0. 4. 2. 4. 0. 2. 1.],NULL,[1. 0. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 1. 5. 0. 2. 0. 1. 2. 1. 1. 2. 2. 1. 1. 1.],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,S,hh,N,58.0,33.0,105.0,79.0,105.0,NULL,58.0,NULL,27.0,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL
a1,S,hh,snmin,-6.5,-6.5,-14.5,-10.0,-18.0,NULL,-25.5,NULL,-29.0,NULL,-17.0,NULL,NULL,NULL,NULL,NULL,NULL
a1,S,hh,snmax,15.5,1.5,3.5,3.0,0.5,NULL,0.5,NULL,-11.0,NULL,-17.0,NULL,NULL,NULL,NULL,NULL,NULL
