terrain_type,band,polarization,thetamin,thetamax,p1,p2,p3,p4,p5,p6,m1,m2,m3
c1,W,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c1,W,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c1,W,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c1,S,hh,0.0,80.0,-20.361,25.727,2.979,-1.13,5.0,-1.916,3.313,3.076,3.759
c1,S,vv,0.0,80.0,-21.198,26.694,2.828,-0.612,5.0,-2.079,3.139,3.413,3.042
c1,S,hv,0.0,80.0,-29.035,18.055,2.8,-1.556,4.534,-0.464,0.779,3.58,0.317
c3a1,C,hh,0.0,80.0,-89.052,99.0,0.299,8.036,1.776,-3.142,2.374,2.365,3.587
c3a1,C,vv,0.0,80.0,-88.578,99.0,0.319,8.927,2.007,-3.142,1.681,3.142,1.983
c3a1,C,hv,0.0,80.0,-99.0,92.079,0.157,3.867,1.827,-3.142,13.383,-9.0,-0.198
c3a1,L,hh,0.0,80.0,-31.469,35.18,1.17,1.163,4.478,-3.142,-9.0,14.191,0.094
c3a1,L,vv,0.0,80.0,-83.029,99.0,0.489,13.964,-1.929,3.142,1.893,2.381,1.158
c3a1,L,hv,0.0,80.0,-99.0,99.0,0.091,-18.539,0.0,0.0,4.314,-0.266,-1.49
c3a1,Ku,hh,0.0,80.0,-97.383,99.0,0.119,-1.206,5.519,-3.142,1.754,4.378,2.248
c3a1,Ku,vv,0.0,80.0,-99.0,99.0,0.101,-0.871,5.866,-3.142,2.12,3.703,2.667
c3a1,Ku,hv,40.0,70.0,-40.92,0.0,0.0,30.0,0.857,-0.557,-9.0,12.138,0.07
c3a1,X,hh,0.0,80.0,-99.0,99.0,0.12,-1.166,4.919,-3.142,1.596,4.757,2.17
c3a1,X,vv,0.0,80.0,-97.987,99.0,0.136,-1.119,5.787,-3.142,1.74,4.597,2.398
c3a1,X,hv,20.0,70.0,-99.0,48.321,-0.456,30.0,1.455,-0.128,2.746,0.0,0.0
c3a1,Ka,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a1,Ka,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a1,Ka,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a1,W,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a1,W,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a1,W,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a1,S,hh,0.0,80.0,-24.707,24.934,1.36,-0.971,-4.961,-3.142,1.876,2.512,1.76
c3a1,S,vv,0.0,80.0,-19.164,18.515,1.704,-1.631,6.063,-3.142,2.614,1.974,5.337
c3a1,S,hv,0.0,80.0,-99.0,65.29,-0.133,22.117,-0.853,-0.729,12.574,-9.0,-0.143
a4,C,hh,5.0,30.0,-93.171,99.0,0.245,-5.106,0.0,0.0,5.72,0.0,0.0
